#  Lmin Lmax Lmean phi phiErrTotal jkErrShare poissonErrShare weightErrShare Ngalaxy
4.100000000000000000e+01 4.125000000000000000e+01 4.112884693279080750e+01 8.725507348748667499e-03 7.209279625227571400e-04 5.393956242912252043e-03 7.537783614444090730e-02 1.851249884927548030e-03 1.760000000000000000e+02
4.125000000000000000e+01 4.150000000000000000e+01 4.137302863967146749e+01 4.603406756484012576e-03 3.405160843391449518e-04 1.538206792729976922e-02 5.423261445466404096e-02 4.355770882788353830e-03 3.400000000000000000e+02
4.150000000000000000e+01 4.175000000000000000e+01 4.161988376519582289e+01 1.796421152601185680e-03 1.539874497943199960e-04 1.764414237730507762e-02 5.330017908890261058e-02 1.477469245842181166e-02 3.520000000000000000e+02
4.175000000000000000e+01 4.200000000000000000e+01 4.186810775858953093e+01 4.769980507983301852e-04 4.516816514501708539e-05 2.447756247912180605e-02 5.555555555555555247e-02 1.465943903011809185e-02 3.240000000000000000e+02
4.200000000000000000e+01 4.225000000000000000e+01 4.211341478162757568e+01 1.731607501860866745e-04 1.736959372598210135e-05 3.082041304466832596e-02 6.154574548966636888e-02 7.942910970826963166e-03 2.640000000000000000e+02
4.225000000000000000e+01 4.250000000000000000e+01 4.236467607583458062e+01 9.916642950277742489e-05 1.270801241021917660e-05 5.863402161062435808e-02 6.933752452815364342e-02 1.767846414811947216e-04 2.080000000000000000e+02
4.250000000000000000e+01 4.275000000000000000e+01 4.260832381498133969e+01 3.074308123920518936e-05 4.757049507638487992e-06 5.753455676309544159e-02 8.543576577167609487e-02 1.176529002874890720e-02 1.370000000000000000e+02
4.275000000000000000e+01 4.300000000000000000e+01 4.284027202571825654e+01 1.059026506893828040e-05 4.533473998374512865e-06 6.830363791991522771e-02 1.348399724926484244e-01 2.249357595430944157e-01 5.500000000000000000e+01
4.300000000000000000e+01 4.325000000000000000e+01 4.307805630899851934e+01 7.154548638410590646e-07 4.788864645808511560e-07 1.053754283278053594e-01 3.535533905932737864e-01 2.104166405672465712e-01 8.000000000000000000e+00
4.325000000000000000e+01 4.350000000000000000e+01 4.337769553102700115e+01 4.914836105660829418e-08 7.059698575489387319e-08 3.000000000030237923e-01 1.000000000000000000e+00 1.364056956738145809e-01 1.000000000000000000e+00
