# log(L_OII[erg s-1 h-2)		phi_intr[h^3 mpc-3]		phi_att
      35.0000     -3.36541     -3.22400
      35.2000     -2.92405     -2.80770
      35.4000     -2.72584     -2.64946
      35.6000     -2.65553     -2.59126
      35.8000     -2.53506     -2.49324
      36.0000     -2.43837     -2.41150
      36.2000     -2.38902     -2.37051
      36.4000     -2.34401     -2.33086
      36.6000     -2.27108     -2.25285
      36.8000     -2.25147     -2.24929
      37.0000     -2.31290     -2.32660
      37.2000     -2.40737     -2.43802
      37.4000     -2.45018     -2.54691
      37.6000     -2.58109     -2.70220
      37.8000     -2.68442     -2.80894
      38.0000     -2.80853     -3.02585
      38.2000     -3.03342     -3.21652
      38.4000     -3.09771     -3.21758
      38.6000     -2.72584     -2.66140
      38.8000     -2.18231     -2.13523
      39.0000     -1.92719     -1.89344
      39.2000     -1.79148     -1.75223
      39.4000     -1.66314     -1.61912
      39.6000     -1.54587     -1.48477
      39.8000     -1.43959     -1.39694
      40.0000     -1.43550     -1.38624
      40.2000     -1.42166     -1.36220
      40.4000     -1.35685     -1.32602
      40.6000     -1.38639     -1.39592
      40.8000     -1.47131     -1.44752
      41.0000     -1.51348     -1.51554
      41.2000     -1.55783     -1.66980
      41.4000     -1.68203     -1.97409
      41.6000     -1.93256     -2.39810
      41.8000     -2.30452     -2.84208
      42.0000     -2.65524     -3.35218
      42.2000     -3.01572     -3.87506
      42.4000     -3.39314     -4.65321
      42.6000     -3.72550     -4.98421
      42.8000     -4.19584      0.00000
      43.0000     -4.82930      0.00000
      43.2000     -5.22724      0.00000
